week,month,year,date,total_revenue
49,12,2009,2009-12-01,232177.51
50,12,2009,2009-12-07,207908.73
51,12,2009,2009-12-14,207685.87
52,12,2009,2009-12-21,35731.9
1,1,2010,2010-01-04,167636.95
2,1,2010,2010-01-11,125493.61
3,1,2010,2010-01-18,119473.351
4,1,2010,2010-01-25,143198.761
5,2,2010,2010-02-01,112299.692
6,2,2010,2010-02-08,80059.66
7,2,2010,2010-02-15,160506.402
8,2,2010,2010-02-22,151693.202
9,3,2010,2010-03-01,151813.96
10,3,2010,2010-03-08,118785.1
11,3,2010,2010-03-15,164459.771
12,3,2010,2010-03-22,172063.68
13,3,2010,2010-03-29,89855.96
13,4,2010,2010-04-01,28646.66
14,4,2010,2010-04-06,124314.76
15,4,2010,2010-04-12,141539.381
16,4,2010,2010-04-19,138922.62
17,4,2010,2010-04-26,158558.581
17,5,2010,2010-05-02,12342.17
18,5,2010,2010-05-04,149102.83
19,5,2010,2010-05-10,155673.54
20,5,2010,2010-05-17,138681.57
21,5,2010,2010-05-24,142033.27
22,6,2010,2010-06-01,90358.06
23,6,2010,2010-06-07,200239.71
24,6,2010,2010-06-14,126987.39
25,6,2010,2010-06-21,103924.84
26,6,2010,2010-06-28,114861.13
26,7,2010,2010-07-01,55932.44
27,7,2010,2010-07-05,136775.12
28,7,2010,2010-07-12,144495.58
29,7,2010,2010-07-19,133616.0
30,7,2010,2010-07-26,118917.03
30,8,2010,2010-08-01,30637.95
31,8,2010,2010-08-02,117866.37
32,8,2010,2010-08-09,139842.07
33,8,2010,2010-08-16,154786.91
34,8,2010,2010-08-23,136279.55
35,8,2010,2010-08-31,22811.75
35,9,2010,2010-09-01,100807.8
36,9,2010,2010-09-06,119333.94
37,9,2010,2010-09-13,155778.921
38,9,2010,2010-09-20,223587.04
39,9,2010,2010-09-27,229506.25
39,10,2010,2010-10-01,72886.41
40,10,2010,2010-10-04,243007.44
41,10,2010,2010-10-11,298614.04
42,10,2010,2010-10-18,220882.67
43,10,2010,2010-10-25,197721.45
44,11,2010,2010-11-01,262597.86
45,11,2010,2010-11-08,282707.701
46,11,2010,2010-11-15,261610.06100000002
47,11,2010,2010-11-22,246492.99
48,11,2010,2010-11-29,113051.41
48,12,2010,2010-12-01,148627.97
49,12,2010,2010-12-06,212619.13
50,12,2010,2010-12-13,163116.12
51,12,2010,2010-12-20,46059.51
1,1,2011,2011-01-04,114636.8
2,1,2011,2011-01-10,154344.85
3,1,2011,2011-01-17,175452.23
4,1,2011,2011-01-24,104861.0
5,1,2011,2011-01-31,18806.43
5,2,2011,2011-02-01,87149.38
6,2,2011,2011-02-07,87827.94
7,2,2011,2011-02-14,125700.15
8,2,2011,2011-02-21,130380.77
9,2,2011,2011-02-28,15026.68
9,3,2011,2011-03-01,102360.14
10,3,2011,2011-03-07,112193.93000000001
11,3,2011,2011-03-14,137669.82
12,3,2011,2011-03-21,129560.72
13,3,2011,2011-03-28,112297.15
13,4,2011,2011-04-01,31360.43
14,4,2011,2011-04-04,119697.73
15,4,2011,2011-04-11,134930.821
16,4,2011,2011-04-18,115969.4
17,4,2011,2011-04-26,66415.95
17,5,2011,2011-05-01,6958.11
18,5,2011,2011-05-03,131094.12
19,5,2011,2011-05-09,178574.32
20,5,2011,2011-05-16,195818.79
21,5,2011,2011-05-23,146776.61
22,5,2011,2011-05-31,18133.2
22,6,2011,2011-06-01,83907.17
23,6,2011,2011-06-06,193704.12
24,6,2011,2011-06-13,171702.44
25,6,2011,2011-06-20,112600.67
26,6,2011,2011-06-27,98131.65
26,7,2011,2011-07-01,18119.170000000002
27,7,2011,2011-07-04,131222.52
28,7,2011,2011-07-11,118078.73
29,7,2011,2011-07-18,167284.44
30,7,2011,2011-07-25,164258.041
31,8,2011,2011-08-01,155943.0
32,8,2011,2011-08-08,143544.62
33,8,2011,2011-08-15,167634.4
34,8,2011,2011-08-22,147595.96
35,8,2011,2011-08-30,29333.06
35,9,2011,2011-09-01,84492.91
36,9,2011,2011-09-05,166212.46
37,9,2011,2011-09-12,208718.88
38,9,2011,2011-09-19,309091.501
39,9,2011,2011-09-26,182174.451
39,10,2011,2011-10-02,11479.98
40,10,2011,2011-10-03,296214.24
41,10,2011,2011-10-10,203708.95
42,10,2011,2011-10-17,254775.57
43,10,2011,2011-10-24,236456.84
44,10,2011,2011-10-31,33006.87
44,11,2011,2011-11-01,226367.15
45,11,2011,2011-11-07,263717.33
46,11,2011,2011-11-14,276216.98
47,11,2011,2011-11-21,248234.58
48,11,2011,2011-11-28,141669.57
48,12,2011,2011-12-01,109163.47
49,12,2011,2011-12-05,408044.97000000003
